year,total_deaths
1989,68311.0
1990,95752.0
1991,84408.0
1992,76121.0
1993,74232.0
1994,824177.0
1995,62876.0
1996,88030.0
1997,66484.0
1998,61638.0
1999,102686.0
2000,95168.0
2001,38409.0
2002,42146.0
2003,41077.0
2004,36924.0
2005,21190.0
2006,28510.0
2007,29433.0
2008,40245.0
2009,52253.0
2010,34898.0
2011,42485.0
2012,91463.0
2013,115556.0
2014,151743.0
2015,132027.0
2016,116723.0
2017,113678.0
2018,89494.0
2019,78507.0
2020,104199.0
2021,235007.0
2022,317936.0
2023,170432.0
2024,188209.0
2025,245464.0
